internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
137333,Canthidium latum,"Choeridium latum Blanchard, 1846",Choeridium,latum,"Blanchard, 1846",,
137336,Dichotomius crinicollis,"Copris crinicollis Germar, 1824",Copris,crinicollis,"Germar, 1824",,
137340,Oxysternon macleayi,"Oxysternon biimpressum Olsoufieff, 1924",Oxysternon,biimpressum,"Olsoufieff, 1924",,
137340,Oxysternon macleayi,"Oxysternon zellibori Pereira, 1943",Oxysternon,zellibori,"Pereira, 1943",,
137363,Dichotomius planicollis,"Pinotus planicollis Gillet, 1911",Pinotus,planicollis,"Gillet, 1911",,
137367,Scybalocanthon trimaculatus,"Canthon trimaculatus Schmidt, 1922",Canthon,trimaculatus,"Schmidt, 1922",,
137368,Anomiopus nigrocoeruleus,"Onthocharis nigrocoeruleus Martinez, 1955",Onthocharis,nigrocoeruleus,"Martinez, 1955",,
137381,Lepanus pisoniae,"Panelus pisoniae Lea, 1923",Panelus,pisoniae,"Lea, 1923",,
137406,Canthon lituratus,"Ateuchus lituratus Germar, 1813",Ateuchus,lituratus,"Germar, 1813",,
137409,Demarziella imitatrix,"Demarziella costata Petrovitz, 1975",Demarziella,costata,"Petrovitz, 1975",,
137409,Demarziella imitatrix,"Notopedaria tuberculata Matthews, 1976",Notopedaria,tuberculata,"Matthews, 1976",,
137411,Onitis mendax,Onitis cerrutii  Müller 1949,Onitis,cerrutii ,Müller 1949,,
137411,Onitis mendax,Onitis janssenii  Gomes Alves 1954,Onitis,janssenii ,Gomes Alves 1954,,
137420,Onthophagus giraffa,Onthophagus pectoralis Thunberg 1818,Onthophagus,pectoralis,Thunberg 1818,,
137420,Onthophagus giraffa,Onthophagus platycerus Wiedemann 1823,Onthophagus,platycerus,Wiedemann 1823,,
137420,Onthophagus giraffa,"Copris giraffa Hausmann, 1807",Copris,giraffa,"Hausmann, 1807",,
137422,Pachysoma endroedyi,"Scarabaeus endroedyi Harrison &amp; Scholtz &amp; Chown, 2003",Scarabaeus,endroedyi,"Harrison &amp; Scholtz &amp; Chown, 2003",,
137428,Onthophagus australis,"Onthophagus cupreoviridis Blanchard, 1853",Onthophagus,cupreoviridis,"Blanchard, 1853",,
137428,Onthophagus australis,"Onthophagus capella Boisduval, 1832",Onthophagus,capella,"Boisduval, 1832",,
137429,Onthophagus victoriensis,"Onthophagus jungi Blackburn, 1904",Onthophagus,jungi,"Blackburn, 1904",,
137438,Pachysoma hippocrates,Pachysoma macleayi Castelnau 1840,Pachysoma,macleayi,Castelnau 1840,,
137438,Pachysoma hippocrates,Scarabaeus hessei Ferreira 1953,Scarabaeus,hessei,Ferreira 1953,,
137459,Onitis nemoralis,Onitis sylvanus Gillet,Onitis,sylvanus,Gillet,,
137463,Hamonthophagus depressus,Onthophagus laceratus  Peringuey 1901,Onthophagus,laceratus ,Peringuey 1901,,
137463,Hamonthophagus depressus,"Onthophagus carteri Blackburn, 1904",Onthophagus,carteri,"Blackburn, 1904",,
137463,Hamonthophagus depressus,"Onthophagus depressus Harold, 1871",Onthophagus,depressus,"Harold, 1871",,
137463,Hamonthophagus depressus,"Onthophagus depressus ssp. marmoreus Orbigny, 1904",Onthophagus,depressus,,subspecies,"Orbigny, 1904"
137471,Ateuchus guatemalensis,"Choeridium guatemalensis Bates, 1887",Choeridium,guatemalensis,"Bates, 1887",,
137473,Dichotomius horridus,"Pinotus horridus Felsche, 1911",Pinotus,horridus,"Felsche, 1911",,
137476,Canthon smaragdulus,"Scarabaeus smaragdulus Fabricius, 1781",Scarabaeus,smaragdulus,"Fabricius, 1781",,
137480,Sisyphus rubrus,"Neosisyphus rubrus (Paschalidis, 1974)",Neosisyphus,rubrus,"(Paschalidis, 1974)",,
137485,Dichotomius apicalis,"Pinotus apicalis Luederwaldt, 1931",Pinotus,apicalis,"Luederwaldt, 1931",,
137496,Anomiopus pictus,"Onthocharis pictus Harold, 1862",Onthocharis,pictus,"Harold, 1862",,
137505,Coprophanaeus pertyi,"Phanaeus pertyi d'Olsoufieff, 1924",Phanaeus,pertyi,"d'Olsoufieff, 1924",,
137507,Ateuchus murrayi,"Choeridium murrayi Harold, 1868",Choeridium,murrayi,"Harold, 1868",,
137515,Onthophagus propinquus,"Onthophagus helmsi Blackburn, 1903",Onthophagus,helmsi,"Blackburn, 1903",,
137515,Onthophagus propinquus,"Onthophagus acuticeps Macleay, 1888",Onthophagus,acuticeps,"Macleay, 1888",,
137533,Pedaria durandi,"Pedaria dedei Cambefort, 1982",Pedaria,dedei,"Cambefort, 1982",,
137540,Scarabaeus costatus,"Ateuchus costatus Wiedemann, 1823",Ateuchus,costatus,"Wiedemann, 1823",,
137542,Ontherus azteca,"Ontherus strius Howden & Young, 1981",Ontherus,strius,"Howden & Young, 1981",,
137542,Ontherus azteca,"Ontherus villosus Luederwaldt, 1930",Ontherus,villosus,"Luederwaldt, 1930",,
137559,Gyronotus pumilus,"Chalconotus pumilus Boheman, 1857",Chalconotus,pumilus,"Boheman, 1857",,
137559,Gyronotus pumilus,"Gyronotus marginatus  Péringuey, 1888",Gyronotus,marginatus ,"Péringuey, 1888",,
137561,Metacatharsius pumilioniformis,"Catharsius pumilioniformis Ferreira, 1964",Catharsius,pumilioniformis,"Ferreira, 1964",,
137562,Scarabaeolus canaliculatus,Scarabaeus reichei Waterhouse 1890,Scarabaeus,reichei,Waterhouse 1890,,
137562,Scarabaeolus canaliculatus,"Scarabaeus canaliculatus Fairmaire, 1888",Scarabaeus,canaliculatus,"Fairmaire, 1888",,
137564,Copris wiesei,"Copris schoutedeni Boucomont, 1928",Copris,schoutedeni,"Boucomont, 1928",,
137566,Trichillidium quadridens,"Pedaridium quadridens Arrow, 1932",Pedaridium,quadridens,"Arrow, 1932",,
137570,Garreta malleolus,"Gymnopleurus consanguineus Kolbe, 1895",Gymnopleurus,consanguineus,"Kolbe, 1895",,
137570,Garreta malleolus,"Gymnopleurus fastiditus Péringuey, 1901",Gymnopleurus,fastiditus,"Péringuey, 1901",,
137570,Garreta malleolus,"Gymnopleurus malleolus Kolbe, 1895",Gymnopleurus,malleolus,"Kolbe, 1895",,
137584,Canthon quadripunctatus,"Canthon compactus Harold, 1868",Canthon,compactus,"Harold, 1868",,
137585,Canthidium flavicorne,"Choeridium flavicorne Blanchard, 1846",Choeridium,flavicorne,"Blanchard, 1846",,
137591,Onthophagus flavolimbatus,Onthophagus bicolor d'Orbigny 1900,Onthophagus,bicolor,d'Orbigny 1900,,
137591,Onthophagus flavolimbatus,Onthophagus semiflavus d'Orbigny 1902,Onthophagus,semiflavus,d'Orbigny 1902,,
137591,Onthophagus flavolimbatus,Onthophagus  breviculus d'Orbigny 1905,Onthophagus ,breviculus,d'Orbigny 1905,,
137617,Anomiopus laetus,"Onthocharis laetus Waterhouse, 1891",Onthocharis,laetus,"Waterhouse, 1891",,
137645,Lepanus politus,"Panelus politus Carter, 1936",Panelus,politus,"Carter, 1936",,
137646,Proagoderus extensus,Onthophagus lanista Gerstaecker 1873,Onthophagus,lanista,Gerstaecker 1873,,
137646,Proagoderus extensus,"Onthophagus extensus Harold, 1878",Onthophagus,extensus,"Harold, 1878",,
137652,Scarabaeus rixosus,Ateuchus modestus Boheman 1860,Ateuchus,modestus,Boheman 1860,,
137652,Scarabaeus rixosus,Scarabaeus rostratus  Péringuey 1888,Scarabaeus,rostratus ,Péringuey 1888,,
137664,Onitis robustus,Onitis zambesianus Péringuey 1896,Onitis,zambesianus,Péringuey 1896,,
137664,Onitis robustus,Onitis lunaris Kolbe 1897,Onitis,lunaris,Kolbe 1897,,
137667,Holocephalus sculptus,"Atrichius sculptus Gillet, 1907",Atrichius,sculptus,"Gillet, 1907",,
137675,Caccobius nigritulus,Onthophagus litigiosus Péringuey 1901,Onthophagus,litigiosus,Péringuey 1901,,
137675,Caccobius nigritulus,"Onthophagus nigritulus Klug, 1855",Onthophagus,nigritulus,"Klug, 1855",,
137676,Liatongus arrowi,"Oniticellus arrowi Boucomont, 1921",Oniticellus,arrowi,"Boucomont, 1921",,
137677,Gromphas aeruginosa,"Onitis aeruginosa Perty, 1830",Onitis,aeruginosa,"Perty, 1830",,
137681,Onthophagus lemekensis,Onthophagus hamatus Frey 1955,Onthophagus,hamatus,Frey 1955,,
137688,Hyalonthophagus pseudovirens,"Onthophagus pseudovirens D'Orbigny, 1913",Onthophagus,pseudovirens,"D'Orbigny, 1913",,
137693,Coprophanaeus ohausi,"Phanaeus ohausi Felsche, 1911",Phanaeus,ohausi,"Felsche, 1911",,
137693,Coprophanaeus ohausi,"Coprophanaeus florenti Arnaud, 2002",Coprophanaeus,florenti,"Arnaud, 2002",,
137699,Onthophagus impressicollis,Onthophagus fossicollis Quedenfeldt 1884,Onthophagus,fossicollis,Quedenfeldt 1884,,
137699,Onthophagus impressicollis,Onthophagus gemmeus Péringuey 1896,Onthophagus,gemmeus,Péringuey 1896,,
137699,Onthophagus impressicollis,Onthophagus circuitus d'Orbigny 1902,Onthophagus,circuitus,d'Orbigny 1902,,
137699,Onthophagus impressicollis,Onthophagus schoutedeni Boucomont 1920,Onthophagus,schoutedeni,Boucomont 1920,,
137704,Scarabaeolus karrooensis,"Scarabaeus karrooensis Zur Strassen, 1961",Scarabaeus,karrooensis,"Zur Strassen, 1961",,
137710,Onthophagus nigriventris,Onthophagus blanchardi ssp. nigriventris d'Orbigny 1902,Onthophagus,blanchardi,,subspecies,d'Orbigny 1902
137720,Deltochilum carinatum,"Hyboma carinatum Westwood, 1837",Hyboma,carinatum,"Westwood, 1837",,
137725,Copris ritsemae,"Copris victorini Péringuey, 1901 ",Copris,victorini,"Péringuey, 1901 ",,
137729,Pedaria puncticollis,"Pedaria setulosus Brancsik, 1897",Pedaria,setulosus,"Brancsik, 1897",,
137742,Cephalodesmius armiger,"Cephalodesmius minor Blackburn, 1900",Cephalodesmius,minor,"Blackburn, 1900",,
137751,Canthon columbianus,"Geocanthon columbianus (Schmidt, 1920)",Geocanthon,columbianus,"(Schmidt, 1920)",,
137761,Anomiopus lauropalui,"Scatonomus lauropalui Vulcano &amp; Pereira, 1973",Scatonomus,lauropalui,"Vulcano &amp; Pereira, 1973",,
137765,Dichotomius nutans,"Pinotus nutans Harold, 1867",Pinotus,nutans,"Harold, 1867",,
137771,Uroxys coarctatus,"Uroxys aphodioides Bates, 1887",Uroxys,aphodioides,"Bates, 1887",,
137772,Ateuchus carbonarius,"Choeridium carbonarium Harold, 1868",Choeridium,carbonarium,"Harold, 1868",,
137775,Onthophagus lugubris,"Onthophagus lutulentus Harold, 1867",Onthophagus,lutulentus,"Harold, 1867",,
137779,Clypeodrepanus striatus,"Drepanocerus striatus Boucomont, 1921",Drepanocerus,striatus,"Boucomont, 1921",,
137783,Scybalophagus plicatipennis,"Canthon plicatipennis Blanchard, 1843",Canthon,plicatipennis,"Blanchard, 1843",,
137783,Scybalophagus plicatipennis,"Canthon fractipes Harold, 1868",Canthon,fractipes,"Harold, 1868",,
137802,Sceliages difficilis,"Scarabaeus difficilis (Zur Strassen, 1965)",Scarabaeus,difficilis,"(Zur Strassen, 1965)",,
137810,Versicorpus streyi,"Namakwanus streyi Frolov, 2005",Namakwanus,streyi,"Frolov, 2005",,
137813,Onthophagus asper,"Onthophagus patruelis Harold, 1886",Onthophagus,patruelis,"Harold, 1886",,
137817,Proagoderus plato,"Onthophagus plato Bates, 1888",Onthophagus,plato,"Bates, 1888",,
137824,Garreta nitens,"Gymnopleurus profanus Latreille, 1823",Gymnopleurus,profanus,"Latreille, 1823",,
137824,Garreta nitens,"Gymnopleurus splendidus Dejean, 1833",Gymnopleurus,splendidus,"Dejean, 1833",,
137824,Garreta nitens,"Gymnopleurus janthinus Castelnau, 1840",Gymnopleurus,janthinus,"Castelnau, 1840",,
137824,Garreta nitens,"Gymnopleurus rutilans Castelnau, 1840",Gymnopleurus,rutilans,"Castelnau, 1840",,
137824,Garreta nitens,"Gymnopleurus hilaris Hope, 1842",Gymnopleurus,hilaris,"Hope, 1842",,
137824,Garreta nitens,"Gymnopleurus azureus Reiche, 1847",Gymnopleurus,azureus,"Reiche, 1847",,
137824,Garreta nitens,"Gymnopleurus wahlbergi Fahraeus, 1857",Gymnopleurus,wahlbergi,"Fahraeus, 1857",,
137824,Garreta nitens,"Gymnopleurus coeruleovirens Kolbe, 1897",Gymnopleurus,coeruleovirens,"Kolbe, 1897",,
137824,Garreta nitens,"Gymnopleurus gracilipes Kolbe, 1897",Gymnopleurus,gracilipes,"Kolbe, 1897",,
137824,Garreta nitens,"Gymnopleurus kilimanus Kolbe, 1897",Gymnopleurus,kilimanus,"Kolbe, 1897",,
137824,Garreta nitens,"Gymnopleurus laevis Arrow, 1900",Gymnopleurus,laevis,"Arrow, 1900",,
137824,Garreta nitens,"Gymnopleurus splendens Péringuey, 1901",Gymnopleurus,splendens,"Péringuey, 1901",,
137824,Garreta nitens,"Scarabaeus nitens Olivier, 1789",Scarabaeus,nitens,"Olivier, 1789",,
137826,Paraixodina freyi,"Drepanocerus freyi Janssens, 1953",Drepanocerus,freyi,"Janssens, 1953",,
137826,Paraixodina freyi,"Ixodina freyi (Janssens, 1953)",Ixodina,freyi,"(Janssens, 1953)",,
