Order;families;genus;subspeciesname;distribution;latD;logD;publication;UTM corrected
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,026866;25,565556;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU67
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,201769;24,136289;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);KU49
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,216508;25,050644;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU29
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,05354;25,40785;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU57
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,2263957;24,99413389;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU19
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,01298;25,67277;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);LU77
Diplopoda;Julidae;Amblyiulus;Amblyiulus creticus;Kriti;35,25194995;26,26460936;Felesaki, I., Stoev, P., Simaiakis, S. & Mylonas, M.,2010: A CATALOGUE OF THE MILLIPEDES OF CRETE (MYRIAPODA: DIPLOPODA).NATURA MONTENEGRINA, Podgorica, 9(3);MV30
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,58954281;24,14639873;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV33
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,560686;24,16493;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV44
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,28925115;24,18258807;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV40
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,29213365;24,14671597;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,36257;24,2606;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV51
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,34757913;24,45160654;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV61
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,4945873;23,6537459;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";GE33
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,32677065;24,27992474;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV51
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,33333;23,88333;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";GE61
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,23355;23,68379;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";GE40
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,01298;25,67277;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU77
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;34,83582;24,08608;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KU35
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,28843957;24,8841032;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LV00
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,3764829;24,73898656;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV91
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,36438;24,47116;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KV71
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,254349;25,471382;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,28816;24,97817;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LV10
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,3227123;25,0254225;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LV21
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,29863;25,16028;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LV30
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,0729318;24,7686207;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";KU98
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,04686;25,4888;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU67
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,16378;25,71268;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU89
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,18789658;25,66266355;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU79
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,19991;26,24979;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";MU39
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,10912542;25,79279989;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU88
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,13794235;25,66048824;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU78
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,04787716;25,57765968;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU77
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,1933351;25,3776832;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU59
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,16368593;25,64811548;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU79
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,16551;25,45134;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU59
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,3094;25,56558;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LV60
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,28461;25,54125;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LV60
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,20131;25,48211;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LU69
Chilopoda;Scolopendridae;Scolopendra;Scolopendra cretica;Kriti;35,31653;25,73315;"Simaiakis, S. & Minelli, A.,2004: The centipede fauna (Chilopoda) of Crete and its satellite
islands (Greece, Eastern Mediterranean).Israel Journal of Zoology vol. 50";LV80
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,09916;24,69114;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KU88
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,47214;23,93033;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE62
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,56001581;24,13461526;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV33
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,16644;25,48284;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU18
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,28843957;24,8841032;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV00
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,25519;24,62798;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV80
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,07973;26,0988;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU18
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,18789658;25,66266355;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU79
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,38196;24,95831;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV11
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,18333;24,23333;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KU49
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,26179;25,27852;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV40
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,32731222;25,33351059;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV40
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,2359698;24,16194214;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV40
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,19991;26,24979;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU39
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,32804;25,20087;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV30
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,04686;25,4888;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU67
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,12159654;25,85991283;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU98
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,04405;25,45532;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU57
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,29863;25,16028;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV30
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,23864992;23,61670017;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE40
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,03469;25,94651;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU17
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,16368593;25,64811548;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU79
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,13794235;25,66048824;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU78
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,19955;25,46959;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU69
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,19955;25,46959;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU69
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,03718;25,9707;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU17
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,28324;25,46055;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV60
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,21333;25,52111;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LU69
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,22168;26,216;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU29
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,23355;23,68379;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE40
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,14585211;25,47993998;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV60
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,25619;25,38643;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV50
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,15019466;24,46624296;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KU69
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,19502658;26,27559131;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU39
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,24408;25,23607;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV30
Araneae;Theridiidae;Theridion;Theridion helena;Kriti;35,21801;24,53546;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV70
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,16514;26,05564;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU19
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,33457967;23,83270435;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE51
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,47214;23,93033;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE62
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,56001581;24,13461526;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV33
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,16644;25,48284;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;MU18
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,35497;23,69053;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE41
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,34622;24,20992;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV41
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,44873;24,19977;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV42
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,28843957;24,8841032;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV00
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,28843957;24,8841032;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV00
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,31854637;23,64954369;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE41
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,28369;23,63266;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE30
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,40627;24,78331;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;KV91
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,30847;25,372257;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;LV50
Araneae;Agelenidae;Maimuna;Maimuna cretica;Kriti;35,36184549;23,63445533;Bosmans, R., Van Keer, J., Russell-Smith, A., Kronestedt, T., Alderweireldt, M., Bosselaers, J. & De Koninck, H.,2013: Spiders of Crete (Araneae). A catalogue of all currently known species from the Greek island of Crete. .Arachnological Contributions. Ne;GE31
