assessmentId,internalTaxonId,scientificName,type,text,full,value,order
2521594,198337,Atyaephyra stankoi,RedListEvaluators,"Cumberlidge, N. & Smith, K.","Cumberlidge, N. & Smith, K.","Kevin Smith (IUCN)|Neil Cumberlidge (Northern Michigan University, USA)","1055,303"
3198676,10542,Hyles hippophaes,RedListAssessors,World Conservation Monitoring Centre,World Conservation Monitoring Centre,,""
3209604,10713,Euphydryas maturna,RedListAssessors,World Conservation Monitoring Centre,World Conservation Monitoring Centre,,0
3347854,12433,Lycaena dispar,RedListAssessors,"Gimenez Dixon, M.","Gimenez Dixon, M.",,""
3368483,12649,Macrothele cretica,RedListAssessors,World Conservation Monitoring Centre,World Conservation Monitoring Centre,,""
3371159,12659,Phengaris arion,RedListAssessors,"Gimenez Dixon, M.","Gimenez Dixon, M.",,""
3390729,1285,Anergates atratulus,RedListAssessors,Social Insects Specialist Group,Social Insects Specialist Group,,""
3933275,134293,Potamon fluviatile,RedListAssessors,"Cumberlidge, N.","Cumberlidge, N.","Neil Cumberlidge (Northern Michigan University, USA)",1055
3933275,134293,Potamon fluviatile,RedListEvaluators,"Cumberlidge, N. & McIvor, A.","Cumberlidge, N. & McIvor, A.","Anna McIvor (Europe)|Neil Cumberlidge (Northern Michigan University, USA)","1055,96"
3965427,134492,Potamon rhodium,RedListAssessors,"Cumberildge, N.","Cumberildge, N.",,0
3965427,134492,Potamon rhodium,RedListEvaluators,"Cumberildge, N. and McIvor, A.","Cumberildge, N. and McIvor, A.",,0
3997379,134681,Potamon ibericum,RedListAssessors,"Cumberlidge, N.","Cumberlidge, N.","Neil Cumberlidge (Northern Michigan University, USA)",1055
3997379,134681,Potamon ibericum,RedListEvaluators,"Cumberlidge, N. & McIvor, A.","Cumberlidge, N. & McIvor, A.","Anna McIvor (Europe)|Neil Cumberlidge (Northern Michigan University, USA)","1055,96"
4061032,135117,Potamon potamios,RedListAssessors,"Cumberlidge, N.","Cumberlidge, N.","Neil Cumberlidge (Northern Michigan University, USA)",1055
4061032,135117,Potamon potamios,RedListEvaluators,"Cumberlidge, N. & McIvor, A.","Cumberlidge, N. & McIvor, A.","Anna McIvor (Europe)|Neil Cumberlidge (Northern Michigan University, USA)","1055,96"
4460769,14794,Niphargobates lefkodemonaki,RedListAssessors,"Sket, B.","Sket, B.",,""
4526314,153648,Pacifastacus leniusculus,RedListAssessors,"","Schuster, G.A., Taylor, C.A. & Cordeiro, J.",Guenter Schuster (Eastern Kentucky University)|Chris Taylor (University of Illinois)|Jay Cordeiro (NatureServe),"1147,1145,102"
4526314,153648,Pacifastacus leniusculus,RedListEvaluators,"","Collen, B. & Richman, N.",Ben Collen (SRLI)|Nadia Richman (Sampled Red List Index project),"190,178"
4526314,153648,Pacifastacus leniusculus,RedListContributors,"","Livingston, F., Livingston, F., Soulsby, A.-M., Batchelor, A., Dyer, E., Whitton, F., Milligan, H.T., Smith, J., Lutz, M.L., De Silva, R., McGuinness, S., Kasthala, G., Jopling, B., Sullivan, K. & Cryer, G.","Fiona Livingston (SRLI)|Anne-Marie Soulsby (Institute of Zoology, Zoological Society of London)|Alison Batchelor (SRLI)|Ellen Dyer (Institute of Zoology, Zoological Society of London)|Felix Whitton (Institute of Zoology, Zoological Society of London)|Fiona Livingston (SRLI)|Harriet Milligan (IOZ)|Jeremy Smith (SRLI)|Maiko Lutz (IUCN Red List Unit)|Ranmali De Silva (IOZ)|Shane McGuinness|Gita  Kasthala|Blythe Jopling (ZSL)|Kathryn Sullivan (ZSL)|Georgia Cryer (ZSL)","14,1131,222,1129,1127,14,2059,128,2314,2057,1794,1792,2788,2790,2792"
5077434,157474,Stenopterus similatus,RedListAssessors,"Tykarski, P., Munteanu, N., Istrate, P., Tezcan, S. & Putchkov, A.","Tykarski, P., Munteanu, N., Istrate, P., Tezcan, S. & Putchkov, A.",,0
5077434,157474,Stenopterus similatus,RedListEvaluators,"","Alexander, K. & Nieto, A.",Keith Alexander (Ancient Tree Forum)|Ana Nieto (IUCN),"186,212"
