LABEL3	total_area	natura2000	wildlife	hotspots	threatspots	wege_kba
Agro-forestry areas	1.2256747326206	NA	NA	NA	NA	NA
Airports	13.1710002787703	NA	NA	NA	NA	NA
Bare rocks	63.4648790705784	61.148102989336	4.03256875777323	33.833862837288	7.82047490335027	7.82047490335027
Beaches, dunes, sands	4.03020812547627	NA	NA	NA	NA	NA
Broad-leaved forest	70.716609864489	14.7065359118979	1.41554033090682	19.1801841514549	16.9469729830327	16.9469729830327
Burnt areas	4.09589305884383	NA	NA	NA	NA	NA
Complex cultivation patterns	443.158446978563	54.1921339598582	7.38725819614745	29.2828343183685	20.4366612402701	28.1543188909332
Coniferous forest	219.005306521262	181.809231737801	58.9375693882056	143.791218521569	125.097080053197	127.554095145584
Construction sites	3.34991246145426	0.316290720790565	0.57323450917755	0.316290720790565	0.316290720790565	0.316290720790565
Continuous urban fabric	8.97666087960309	NA	NA	NA	NA	NA
Discontinuous urban fabric	101.657834702398	2.62895614304324	1.45475950542262	3.54031664852586	2.37092841106389	3.91631776187379
Dump sites	0.847771340236609	NA	NA	NA	NA	NA
Fruit trees and berry plantations	50.1304223589952	NA	NA	NA	NA	NA
Industrial or commercial units	19.1209058396644	0.391026331412946	0.942834868953965	0.250987577598669	0.250987577598669	0.250987577598669
Land principally occupied by agriculture, with significant areas of natural vegetation	658.573029159233	75.0644050519311	12.3242115569403	64.1416387425689	60.6232966677759	72.0153616263623
Mineral extraction sites	5.84923723993207	NA	NA	NA	NA	NA
Mixed forest	10.2119170796417	2.68637834565319	0.00930889018765543	0.653357414048067	0.653357414048067	2.17209354384201
Moors and heathland	12.9731570939515	12.9731570939515	0.000819656755718972	12.9299160177826	12.1492670321668	12.1492670321668
Natural grasslands	1459.26366346333	569.924833330715	138.291193938289	241.786699910775	198.540491959394	252.954123746166
Non-irrigated arable land	32.4982553440644	12.8593380404819	0.453164042055253	8.24069918517502	8.24069918517502	8.24069918517502
Olive groves	2137.65656606795	111.927626255724	33.2030745802341	140.089076249591	117.850088449785	157.937723080005
Pastures	59.2478387408916	15.1148569576259	1.81397488126859	8.4962381927798	8.04926619510221	9.7090543424456
Permanently irrigated land	55.7926694137053	21.2476978400652	0.573360369626803	18.6620455752179	18.6620455752179	18.6620455752179
Port areas	0.953222438126187	NA	NA	NA	NA	NA
Road and rail networks and associated land	6.52814668432899	0.10261265079308	0.0272557363626892	0.0764777761958499	0.0764777761958499	0.0764777761958499
Sclerophyllous vegetation	2007.26086084001	718.705691641288	241.56617425879	374.80983026628	363.674189880483	405.684518363557
Sparsely vegetated areas	339.064868119457	259.031735041058	42.551956057804	108.888904803935	80.790451044815	90.4045937073345
Sport and leisure facilities	20.6765621307485	NA	NA	NA	NA	NA
Transitional woodland-shrub	318.336528766133	217.416560447324	58.7728310468015	155.665613353554	139.205705139775	142.817292350213
Vineyards	179.914347278403	4.93729151022309	1.66332296089159	4.74602212143291	4.74602212143291	4.92756048037731
Water bodies	6.74036010872662	2.50229681055645	1.79508579976506	0.991419467966408	0.314609642470299	0.314609642470299
